SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/cuda	DS4_CUDA_TP_ATTN_CACHE_DUP	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel attn cache dup execution.	ds4.c:17059
runtime/cuda	DS4_CUDA_TP_ATTN_HEADS	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel attn heads execution.	ds4.c:17051
runtime/cuda	DS4_CUDA_TP_ATTN_OUT_HC_FUSE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control CUDA tensor/expert-parallel attn out HC fuse execution.	ds4.c:17564
runtime/cuda	DS4_CUDA_TP_ATTN_PEER_READ	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel attn peer read execution.	ds4.c:17043
runtime/cuda	DS4_CUDA_TP_EP_BALANCED_SHARED_MID	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP balanced shared mid execution.	ds4.c:17116
runtime/cuda	DS4_CUDA_TP_EP_DELAY_REDUCE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP delay reduce execution.	ds4.c:17091
runtime/cuda	DS4_CUDA_TP_EP_DIRECT_RETURN	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP direct return execution.	ds4.c:17083
runtime/cuda	DS4_CUDA_TP_EP_DUAL_PREQUANT	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP dual prequant execution.	ds4.c:17125
runtime/cuda	DS4_CUDA_TP_EP_FUSED_HC_REDUCE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP fused HC reduce execution.	ds4.c:17099
runtime/cuda	DS4_CUDA_TP_EP_FUSED_SHARED_MID	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP fused shared mid execution.	ds4.c:17107
runtime/cuda	DS4_CUDA_TP_EP_PACK_EXACT	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP pack exact execution.	ds4.c:17075
runtime/cuda	DS4_CUDA_TP_MOE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE execution.	ds4.c:17067
runtime/cuda	DS4_CUDA_TP_MOE_COPY3	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE copy3 execution.	ds4.c:17149
runtime/cuda	DS4_CUDA_TP_MOE_DELAY_REDUCE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE delay reduce execution.	ds4.c:17133
runtime/cuda	DS4_CUDA_TP_MOE_PACK	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE pack execution.	ds4.c:17141
runtime/cuda	DS4_CUDA_TP_MOE_PEER_READ	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE peer read execution.	ds4.c:17157
runtime/cuda	DS4_CUDA_TP_MOE_PEER_ROUTER	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE peer router execution.	ds4.c:17165
runtime/cuda	DS4_CUDA_TP_OUTPUT	boolean, default on; empty/unset/nonzero enables, exact 0 disables	Control CUDA tensor/expert-parallel output execution.	ds4.c:51713
runtime/cuda	DS4_CUDA_TP_OUTPUT_WAYS	integer 2..DS4_MAX_GPUS (16); default 8; invalid value falls back to 2; capped by available GPUs	Set the number of GPU ways used to shard CUDA tensor-parallel output projection.	ds4.c:58; ds4.c:51720
runtime/cuda	DS4_CUDA_TP_PREFILL_ATTN_OUTPUT	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel prefill attn output execution.	ds4.c:17445
runtime/cuda	DS4_CUDA_TP_PREFILL_FFN	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel prefill ffn execution.	ds4.c:17437
runtime/cuda	DS4_CUDA_TP_Q	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel q execution.	ds4.c:17189
runtime/cuda	DS4_CUDA_TP_SHARED	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel shared execution.	ds4.c:17173
runtime/cuda	DS4_CUDA_TP_SHARED_FOLD	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel shared fold execution.	ds4.c:17181
runtime/cuda	DS4_CUDA_VERIFY_DECODE2_SPLIT_TOP1	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable the split top-1 path for two-row verification decode.	ds4.c:17225
runtime/cuda	DS4_CUDA_WEIGHT_ARENA_CHUNK_MB	positive integer MiB; default 1792; clamped 256..8192 and raised/aligned when one allocation needs more	Set the CUDA selective-weight arena allocation chunk.	ds4_cuda.cu:6311
runtime/cuda	DS4_CUDA_WEIGHT_CACHE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Force selective CUDA weight caching instead of direct mapped access.	ds4_cuda.cu:1246
runtime/cuda	DS4_CUDA_WEIGHT_CACHE_LIMIT_GB	unsigned integer GiB; default/0 = unlimited; parser accepts a numeric prefix even with trailing text	Limit total CUDA selective-weight cache allocation.	ds4_cuda.cu:6299
runtime/cuda	DS4_CUDA_WEIGHT_CACHE_VERBOSE	presence diagnostic flag; default off; any defined value including 0 enables	Print CUDA weight mapping, caching, and preload diagnostics.	ds4_cuda.cu:1297
runtime/cuda	DS4_CUDA_WEIGHT_PRELOAD	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Request proactive CUDA weight caching/preloading.	ds4_cuda.cu:1247
runtime/cuda	DS4_CUDA_WEIGHT_PRELOAD_SPAN_MB	positive integer MiB; default 1024; clamped 64..4096	Set the maximum span size used by CUDA weight preload.	ds4.c:2880
runtime/cuda	DS4_CUDA_WINDOW_ATTENTION	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control or tune the CUDA window attention path.	ds4_cuda.cu:23051
runtime/cuda-mmq	DS4_MMID_CASE1	boolean-ish cached flag; default on; a value starting with 0 disables	Disable the single-expert MM-IDs specialized fast path for comparison.	cuda/mmq/mmid.cu:290
runtime/cuda-mmq	DS4_MMID_LARGE	boolean-ish cached flag; default on; a value starting with 0 disables	Control the large-N global-memory MM-IDs path used beyond shared-memory capacity.	cuda/mmq/mmid.cu:245
runtime/cuda-mmq	DS4_MMQ_D2R	boolean-ish cached flag; default on; a value starting with 0 disables	Control the direct-to-register Q2_K MoE down path.	cuda/mmq/ds4_mmq.cu:525
runtime/cuda-mmq	DS4_MMQ_D2R_IQ2	boolean-ish cached flag; default on; a value starting with 0 disables	Control the direct-to-register IQ2 MoE gate/up path.	cuda/mmq/ds4_mmq.cu:534
runtime/cuda-mmq	DS4_MMQ_D2R_MIN_COLS	positive integer; default 1024; invalid or nonpositive input restores the default	Set the minimum output-column count for the MMQ direct-to-register path.	cuda/mmq/ds4_mmq.cu:629
runtime/cuda-mmq	DS4_MMQ_D2R_STATS	exact 1 enables; unset or every other value disables; cached and synchronizes the stream	Print partial-tile fill telemetry for the direct-to-register MMQ kernels.	cuda/mmq/ds4_mmq_d2r.cu:33
runtime/cuda-mmq	DS4_MMQ_DENSE_D2R	boolean-ish flag; default on; exact 0 disables	Control the eligible aligned-Q8 dense prefill direct-to-register path.	ds4_cuda.cu:19567
runtime/cuda-mmq	DS4_MMQ_NO_YIND	presence rollback; unset keeps Y-indirect staging; any defined value including 0 disables it	Restore slot-gathered MoE gate/up activation quantization.	cuda/mmq/ds4_mmq.cu:609
runtime/cuda-mmq	DS4_MMQ_OUT_MEMSET	exact 1 enables; unset or every other value disables; cached	Restore blanket MMQ output-buffer zeroing for diagnostics.	cuda/mmq/ds4_mmq.cu:552
runtime/cuda-mmq	DS4_MMQ_YBUF_MEMSET	unset or 0 disables; 1 zero-fills; a value starting with p or P poison-fills with 0xFF	Control MMQ Q8_1 activation-staging initialization and its poison oracle.	cuda/mmq/ds4_mmq.cu:578
runtime/cuda-mmq	DS4_MMQ_YIND_VERIFY	presence diagnostic; unset is off; any defined value including 0 enables	Byte-compare Y-indirect and slot-gathered MoE activation buffers.	cuda/mmq/ds4_mmq.cu:620
runtime/cuda-mmq	DS4_Q8_FOLD_SELFTEST	positive call budget; unset/empty disables; a nonempty value parsing to 1 or less selects 512 calls	Byte-check folded Q8_1 activations against a fresh quantization; synchronizes eager streams.	cuda/mmq/ds4_mmq.cu:5953
runtime/cuda-shared	DS4_FORCE_CUDA_PEER	presence flag read once at CUDA init; unset uses automatic transfer selection; any defined value including 0 enables	Force cross-device transfers through cudaMemcpyPeerAsync for diagnostics.	ds4_cuda.cu:364
runtime/cuda-shared	DS4_FORCE_HOST_BOUNCE	presence flag read once at CUDA init; unset uses automatic transfer selection; any defined value including 0 enables	Force cross-device transfers through pinned host bounce buffers for diagnostics.	ds4_cuda.cu:365
runtime/cuda-tools	DS4_WS_REPACK_HASH	exact 1 enables; unset or every other value disables unless overridden by CLI; cached	Print a per-artifact FNV-1a hash for workspace repack identity checks.	cuda/mmq/ds4_repack.cu:530
runtime/cuda-tools	DS4_WS_REPACK_THREADS	positive integer; default min(6, hardware threads), capped at 16 and the job count	Set the CPU worker count for CUDA workspace artifact repacking.	cuda/mmq/ds4_repack.cu:539
runtime/distributed	DS4_DIST_CONNECT_BIND_HOST	non-empty string; unset/empty means no local bind constraint	Bind outgoing distributed connections to a local host/address.	ds4_distributed.c:1332
runtime/distributed	DS4_DIST_CONNECT_BIND_IF	non-empty string; unset/empty means no local bind constraint	Bind outgoing distributed connections to a network interface.	ds4_distributed.c:1334
runtime/distributed	DS4_DIST_CONNECT_TRACE	presence flag; unset=off, any set value=on	Emit trace diagnostics for dist connect trace.	ds4_distributed.c:1112
runtime/distributed	DS4_DIST_DECODE_PROFILE	presence flag; unset=off, any set value=on	Collect timing/profile diagnostics for dist decode profile.	ds4_distributed.c:753
runtime/distributed	DS4_DIST_DISABLE_PREFILL_ACK_ONLY	presence flag; unset keeps optimized/default behavior, any set value disables it	Disable/roll back dist disable prefill ack only.	ds4_distributed.c:3692
runtime/distributed	DS4_DIST_DISABLE_PREFILL_PIPELINE	presence flag; unset keeps optimized/default behavior, any set value disables it	Disable/roll back dist disable prefill pipeline.	ds4_distributed.c:3427
runtime/distributed	DS4_DIST_DISABLE_WORKER_PREFETCH	presence flag; unset keeps optimized/default behavior, any set value disables it	Disable/roll back dist disable worker prefetch.	ds4_distributed.c:7878
runtime/distributed	DS4_DIST_PREFILL_CHUNK	positive integer; unset/0 uses session prefill capacity; explicit value may not exceed capacity	Set distributed prefill chunk size.	ds4_distributed.c:3455
runtime/distributed	DS4_DIST_PREFILL_SEND_DEPTH	integer 1..8; default 2; capped to chunk count	Set coordinator prefill sender queue depth.	ds4_distributed.c:470
runtime/distributed	DS4_DIST_PREFILL_WINDOW	positive integer <=64; auto default remote stages+2 clamped 2..8 and chunk count	Set maximum distributed prefill chunks in flight.	ds4_distributed.c:3485
runtime/distributed	DS4_DIST_SOCKET_BUFFER_MB	integer 0..512 MiB; default 128; 0 disables socket buffer override	Set TCP send/receive buffer sizes.	ds4_distributed.c:712
runtime/distributed	DS4_DIST_SOCKET_RECV_TIMEOUT_SEC	Nonempty base-10 integer parsed completely; valid range 1..3600 seconds. Unset, empty, partially parsed, or out-of-range values install no SO_RCVTIMEO at all.	Optionally bound blocking receives on distributed TCP sockets; the default deliberately permits indefinitely idle control connections during separate KV transfers.	ds4_distributed.c:1049
runtime/distributed	DS4_DIST_SOCKET_TIMEOUT_SEC	Nonempty base-10 integer parsed completely; valid range 1..3600 seconds. Default 60 seconds for unset, empty, partially parsed, or out-of-range values.	Set SO_SNDTIMEO on distributed TCP sockets so blocked coordinator/worker sends eventually fail.	ds4_distributed.c:1032
runtime/distributed	DS4_DIST_WORKER_FORWARD_WINDOW	integer 1..64; default 4	Set worker forward-results window.	ds4_distributed.c:740
runtime/distributed	DS4_DIST_WORKER_PREFETCH_DEPTH	integer 1..8; default 2	Set worker input-prefetch queue depth.	ds4_distributed.c:726
runtime/dspark	DS4_DSPARK_CACHE_RESERVE_GB	integer GiB via atoi; default 4.5 GiB; values 1..32 replace it, all other values fall back; decimal/trailing text is truncated/accepted by atoi	Reserve VRAM on DSpark support-cache tiers before packing support-model tensors.	ds4.c:59770
runtime/dspark	DS4_DSPARK_DISABLE_FINAL_OUTPUT_ALIAS	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable aliasing the final DSpark stage output to the next-stage buffer and use an explicit copy.	ds4.c:33784
runtime/dspark	DS4_DSPARK_DISABLE_FUSED_CPU_MARKOV_ARGMAX	cached value-aware kill switch; default off; nonempty value other than exact 0 disables; false/off also disable because only 0 is recognized as false	Disable the fused CPU Markov-bias plus argmax implementation.	ds4.c:34487
runtime/dspark	DS4_DSPARK_DISABLE_REUSE_CONFIDENCE0_MARKOV	cached value-aware kill switch; default off; nonempty value other than exact 0 disables; false/off also disable because only 0 is recognized as false	Disable reuse of the first confidence score during Markov proposal.	ds4.c:34496
runtime/dspark	DS4_DSPARK_DISABLE_VERIFY_SELECTED_PROFILE	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Override and disable the selected-expert verifier profiler.	ds4.c:36660
runtime/dspark	DS4_DSPARK_EXEC_TIER	integer tier via atoi; default is placement/TP free-VRAM heuristic; valid 0..n_gpus-1 overrides; invalid numeric range falls back, but nonnumeric text becomes tier 0	Choose the GPU tier that executes and primarily caches the DSpark support model.	ds4.c:59743
runtime/dspark	DS4_DSPARK_FAKE_ARGMAX_PROPOSAL	nonempty boolean; unset/empty or exact 0: off; every other nonempty value enables, but only while DSpark itself is enabled	If the real DSpark proposer produced no draft, installs a one-token fallback proposal equal to the argmax of the current target logits; debug/test mode also selects the non-fused stage-0 setup path.	ds4.c:64278
runtime/dspark	DS4_DSPARK_LOW_MEMORY_PREFILL_CHUNK	unsigned integer rows; default 128; 0 disables the low-memory policy; invalid/overflow falls back, numeric prefixes are accepted; only consulted for Metal SSD+DSpark on <=24 GiB hosts without an explicit chunk	Set the automatic low-memory Metal prefill chunk for SSD-streamed DSpark.	ds4.c:60714
runtime/dspark	DS4_DSPARK_NO_GPU_MARKOV	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable GPU Markov bias/argmax and the fully device-resident proposal path.	ds4.c:34711
runtime/dspark	DS4_DSPARK_NO_MARKOV	cached value-aware kill switch; default off; nonempty value other than exact 0 disables Markov bias; false/off also disable	Disable Markov bias in DSpark proposal generation.	ds4.c:34478
runtime/dspark	DS4_DSPARK_PROBE	nonempty-string diagnostic; unset/empty is off, any nonempty value including 0 is on	Log DSpark proposal/probe diagnostics.	ds4.c:64275
runtime/dspark	DS4_DSPARK_PROP_PROFILE	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Print fine-grained timings for DSpark proposal setup.	ds4.c:32959
runtime/dspark	DS4_DSPARK_SPEC_LOG	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Log speculative proposal, verification, acceptance, and fallback decisions.	ds4.c:66596
runtime/dspark	DS4_DSPARK_SSD_VERIFY_BLOCK_MAX	unsigned integer rows; default/fallback 0 means automatic policy; numeric prefixes accepted; used both as verifier cap and as an exact-2 proposer-policy discriminator	Cap speculative rows verified from SSD and influence exact-2 proposal sizing.	ds4.c:52380
runtime/dspark	DS4_DSPARK_STAGE_PROFILE	presence flag; unset is off; any defined value, including empty or 0, is on; DS4_DSPARK_STAGE_PROFILE_STAGE must also match	Profile DSpark support stages with command-boundary timings.	ds4.c:33416
runtime/dspark	DS4_DSPARK_STAGE_PROFILE_STAGE	selector subordinate to DS4_DSPARK_STAGE_PROFILE; unset/empty: match every stage; otherwise strtoul base 10 must consume the whole value, fit uint32_t, and equal the current stage; invalid/out-of-range values match no stage	Restricts DSpark stage-boundary timing output to one stage; it does not enable profiling by itself.	ds4.c:33417
runtime/dspark	DS4_DSPARK_STATS	value-aware flag; default off; nonempty value other than exact 0 enables; false/off are treated as enabled	Collect and print aggregate DSpark runtime statistics.	ds4.c:61607
runtime/dspark	DS4_DSPARK_VERIFY_CACHE	presence diagnostic; unset: off; any presence including empty or 0 enables on each support-cache installation	CUDA only: copies every installed nonempty DSpark/support-cache range back to the host, byte-compares it with its source, and logs each mismatch plus a bad-count summary without changing the install result.	ds4_cuda.cu:8257
runtime/dspark	DS4_DSPARK_VERIFY_HEAD_NO_TP	presence rollback; unset: allow eligible CUDA output tensor parallelism; any presence including empty or 0 removes the TP path from eligibility	CUDA only: forces the DSpark speculative batched vocabulary head away from output-TP for correctness isolation; under CUDA TP+EP the attempt fails instead of using unavailable full output weights.	ds4.c:26641
runtime/dspark	DS4_DSPARK_VERIFY_NONCAUSAL	presence diagnostic sampled once after the first successfully submitted CUDA noncausal-attention kernel; unset: verify 0 calls; any presence including empty or 0: verify that call and the next 2	CUDA only: synchronizes and reads back Q/KV/output, computes the DSpark noncausal attention CPU reference, and logs max absolute/relative error; it reports only and does not fail the operation.	ds4_cuda.cu:21736
runtime/dspark	DS4_DSPARK_VERIFY_PROFILE	cached presence diagnostic; unset is off; any defined value including empty/0 profiles only the first eligible verifier invocation	Profile one full DSpark target-verifier invocation layer by layer.	ds4.c:36757
runtime/dspark	DS4_DSPARK_VERIFY_SELECTED_PROFILE	presence flag; unset is off; any defined value, including empty or 0, enables unless DS4_DSPARK_DISABLE_VERIFY_SELECTED_PROFILE is also present (disable wins)	Profile selected-expert streaming inside the DSpark verifier.	ds4.c:36659
runtime/dspark	DS4_DSPARK_VERIFY_SPLIT_HEAD	nonempty boolean with inverted default; unset/empty or exact 0: fused head; every other nonempty value: split head	Runs the DSpark suffix verifier output head and top-1 reduction in a separate GPU command section after the layer loop, for timing/correctness isolation; default keeps them fused into the layer command section.	ds4.c:36725
runtime/dspark	DS4_DSPARK_VERIFY_TOPS_CHECK	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Read back verifier logits and compare GPU top IDs with CPU argmax.	ds4.c:36873
runtime/glm	DS4_GLM_ABLATE_COMBINE	presence ablation; unset: exchange the local TP partial with the peer and add both halves; any presence including empty or 0 skips the exchange	Metal two-rank TP timing probe: doubles the local routed-MoE or split-attention partial instead of combining with the peer, deliberately producing invalid output; both ranks must set it or their exchange gates desynchronize.	ds4.c:44181
runtime/glm	DS4_GLM_ATTN_NO_LORA_VEC2	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable vectorized two-row LoRA accumulation in CUDA GLM indexed attention.	ds4_cuda.cu:34176
runtime/glm	DS4_GLM_ATTN_NO_SCORE_VEC2	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable vectorized two-row score computation in CUDA GLM indexed attention.	ds4_cuda.cu:34165
runtime/glm	DS4_GLM_ATTN_NO_STAGED_DECODE	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable staged CUDA GLM indexed-decode attention for large selected sets.	ds4_cuda.cu:34214
runtime/glm	DS4_GLM_DECODE_ABLATE	cached substring list; default empty mask; recognized tokens are attn_out, attn_core, qpath, indexer, routed, shared, qklow; unknown text has no effect; matching stages are skipped and output is invalid	Skip selected GLM decode stages for timing attribution; generated output is invalid.	ds4.c:44411
runtime/glm	DS4_GLM_DECODE_FLUSH_INTERVAL	integer layers via atoi; default 4 for indexed decode and 32 otherwise; <=0/nonnumeric disables periodic flush; capped to layer count and forced to 0 for deferred completion	Set how often non-streaming GLM decode command work is flushed between layers.	ds4.c:49818
runtime/glm	DS4_GLM_DISABLE_FLASH_PREFILL	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable GLM Flash Attention prefill.	ds4.c:45087
runtime/glm	DS4_GLM_DISABLE_STREAMING_TOKEN_PREFILL	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it; either backend-specific ROCm/Metal alias also disables	Disable token-major GLM SSD-streaming prefill.	ds4.c:49702
runtime/glm	DS4_GLM_FENCE_TRACE	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Log fenced CUDA tier switches used by GLM multi-GPU execution.	ds4_cuda.cu:7984
runtime/glm	DS4_GLM_GEMM_TRACE	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Measure and print CUDA GLM dequantization and cuBLAS GEMM timings.	ds4_cuda.cu:19706
runtime/glm	DS4_GLM_HIDDEN_DUMP	nonempty filesystem path/prefix; unset/empty disables; writes final hidden row or per-layer files selected by DS4_GLM_HIDDEN_DUMP_LAYER	Dump GLM hidden-state rows for correctness isolation.	ds4.c:38523
runtime/glm	DS4_GLM_HIDDEN_DUMP_LAYER	selector; unset/empty = -1 (no per-layer dump, final hidden still dumped when path set); all = every layer; otherwise atoi result selects a layer, so invalid text selects layer 0	Choose which GLM layer hidden states are dumped.	ds4.c:38543
runtime/glm	DS4_GLM_KV_DUMP	nonempty filesystem prefix; unset/empty disables; writes layer-0 lora and rope compact-cache files after sync	Dump layer-0 compact GLM KV cache data after prompt synchronization.	ds4.c:63131
runtime/glm	DS4_GLM_LOGIT_DUMP	nonempty filesystem path; unset/empty disables; dumps the first post-prefill logits vector once per process	Dump the first post-prefill GLM logits vector.	ds4.c:38601
runtime/glm	DS4_GLM_MEMORY_GUARD	guard is on by default; exact 0 or case-insensitive false/off/no disables it; any other value and unset keep it enabled	Control the pre-allocation GLM host/GPU memory safety guard.	ds4.c:41989
runtime/glm	DS4_GLM_MEMORY_GUARD_FRACTION	floating-point fraction; default 0.99; parsed numeric prefix is accepted, invalid/nonfinite falls back, values clamp to 0.50..1.00	Set the fraction of detected memory usable by the GLM memory guard.	ds4.c:42028
runtime/glm	DS4_GLM_MEMORY_GUARD_REPORT	nonempty diagnostic flag; unset/empty is off; any nonempty value including 0 prints successful-admission accounting (refusals always report)	Print successful GLM memory-guard budget accounting.	ds4.c:42068
runtime/glm	DS4_GLM_MEMORY_GUARD_RESERVE_GB	floating-point GiB; dynamic default (normally 32, 24 on near-full 480..640 GiB hosts, possibly lower for resident ROCm slices); numeric prefixes accepted; invalid falls back; clamp 0..1024	Set fixed headroom subtracted by the GLM memory guard.	ds4.c:42046
runtime/glm	DS4_GLM_MOE_EXPERT_MAJOR	presence selector; unset: off; any presence including empty or 0 requests the path only for n_tokens >= 16; the automatic tile-8 path takes precedence when enabled (normally n_tokens >= 128)	CUDA only: groups selected token/expert pairs by expert and uses expert-major Q2_K routed-MoE gate/up/down kernels to reuse expert weights; otherwise the normal token-major path is used.	ds4_cuda.cu:35973
runtime/glm	DS4_GLM_MOE_NO_DOWN_TILE8_EXACT	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable the exact tile-8 CUDA GLM routed-MoE down projection.	ds4_cuda.cu:36028
runtime/glm	DS4_GLM_MOE_NO_EXPERT_TILE8	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable automatic expert tile-8 CUDA GLM routed-MoE batching.	ds4_cuda.cu:35971
runtime/glm	DS4_GLM_MOE_NO_LOCAL_BATCH_IO	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable device-local batch scratch I/O for large CUDA GLM MoE batches.	ds4_cuda.cu:35942
runtime/glm	DS4_GLM_MOE_SCALAR	presence rollback; unset: use optimized warp kernels; any presence including empty or 0 selects scalar baseline kernels where an earlier expert-tile/expert-major path does not return; the special two-token MTP gate/up kernel still takes precedence	CUDA only: forces the baseline scalar Q2_K routed-MoE gate/up and down implementations for A/B or correctness testing (for two-token MTP, only the down half is forced).	ds4_cuda.cu:36154
runtime/glm	DS4_GLM_MOE_SCRATCH_TIER0	presence placement override; unset: allocate xq/midq quantization scratch on the current logical tier; any presence including empty or 0 allocates it on logical tier 0	CUDA only: pins the routed-MoE xq_scratch and midq_scratch allocations to GPU tier 0 for multi-tier placement experiments; other MoE scratch remains on the current tier.	ds4_cuda.cu:35918
runtime/glm	DS4_GLM_MTP_NO_ATTN_TOK2	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable the exact two-token CUDA GLM MTP attention kernel.	ds4_cuda.cu:34168
runtime/glm	DS4_GLM_MTP_NO_MOE_TOK2	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable the exact two-token CUDA GLM MTP routed-MoE kernel.	ds4_cuda.cu:36140
runtime/glm	DS4_GLM_MTP_NO_SHARED_TOK2	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable the exact two-token CUDA GLM MTP shared-FFN kernel.	ds4_cuda.cu:37940
runtime/glm	DS4_GLM_MTP_PROBE	presence flag; unset is off; any defined value, including empty or 0, is on; its second call site also rejects the normal batching path	Run the GLM next-N/MTP acceptance quality-and-timing probe without changing output and force probe-compatible scheduling.	ds4.c:64959
runtime/glm	DS4_GLM_PREFILL_TRUNC	nonempty value parsed by atoi (leading whitespace/sign accepted and trailing junk ignored); effective only when the resulting int is > 0 and < the current prompt length; unset/empty or a result <= 0 or >= prompt length leaves the prompt unchanged	GPU GLM debug hook: truncates the prompt before prefill/checkpoint handling so dumped prefill logits can be aligned with a CPU first-token reference.	ds4.c:63270
runtime/glm	DS4_GLM_RESUME_PREFILL_MIN	integer suffix tokens, non-ROCm builds only; default 4; parsed numeric prefixes accepted; <=0 maps to UINT32_MAX and effectively disables batched resume; ROCm build ignores it and stays at 4	Set the suffix-length crossover from token decode to batched resumed prefill.	ds4.c:38434
runtime/glm	DS4_GLM_ROUTER_SCALAR	presence rollback; unset: use the 256-thread parallel router when n_expert <= 256 (the scalar path is already automatic above 256); any presence including empty or 0 forces the scalar path	CUDA only: selects the one-active-thread-per-token sigmoid/top-k router kernel instead of the parallel shared-memory reduction, for A/B or correctness testing.	ds4_cuda.cu:36390
runtime/glm	DS4_GLM_SHARED_SPLIT	presence rollback; unset: use the fused one-token shared-expert Q8_0 gate+up+SwiGLU kernel when its shape/buffers are eligible; any presence including empty or 0 skips that fused one-token path; the earlier two-token MTP-specialized path is unaffected	CUDA only: forces shared-expert gate and up through two separate Q8_0 matmuls followed by a separate SwiGLU operation for one-token decode.	ds4_cuda.cu:37966
runtime/glm	DS4_GLM_STREAMING_DECODE_FULL_LAYER_MAP	presence compatibility alias; unset: automatic mapping; any presence including empty or 0 independently forces full-layer mapping, equivalent to the backend-specific DS4_ROCM_GLM_STREAMING_DECODE_FULL_LAYER_MAP or DS4_METAL_GLM_STREAMING_DECODE_FULL_LAYER_MAP control	Backend-neutral alias for supported GLM SSD streaming (Metal/ROCm): maps every tensor in each decode layer instead of using the decode-only map that can omit routed experts served by the expert cache; layers that already require a full map are unchanged.	ds4.c:42617
